Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Seed
2026,Eastern Washington,68.9,155,67.6,161,112,105,113.1,106,113.7,305,113.1,256,0,138,
2026,Elon,68,201,66.8,212,111.1,120,110.1,152,114.4,316,115.8,304,-5.7,185,
2026,Evansville,67.4,224,67,200,96.7,347,101.9,302,115.5,329,114.8,290,-12.9,241,
2026,Fairfield,67.1,241,66.9,202,108.4,176,105.8,234,107,136,113.9,272,-8.1,207,
2026,Fairleigh Dickinson,64.2,351,63.8,340,101.3,312,100.8,315,112.4,275,118.4,334,-17.6,260,
2026,FIU,71.5,31,71.5,12,107.5,197,107.4,202,109.1,198,109.6,187,-2.2,154,
2026,Florida,72.5,17,70.5,28,119.8,18,125.5,9,99.5,24,91.7,6,33.8,2,1
2026,Florida A&M,70.3,81,68.2,127,99.3,335,97.9,342,105.8,108,110.9,211,-13,239,
2026,Florida Atlantic,70.2,85,69.6,63,108.6,170,109.7,158,106.2,113,106.4,118,3.3,103,
2026,Florida Gulf Coast,69.1,144,67.5,171,109.6,148,105.5,242,111.4,255,112.2,239,-6.7,190,
2026,Florida St.,71.8,28,70.4,30,112.2,103,118.4,56,108.6,183,104.9,93,13.5,45,
2026,Fordham,64.5,341,64.4,326,104.2,267,104.6,261,102.4,51,104.1,79,0.5,131,
2026,Fresno St.,69.4,125,68.2,131,104.4,265,107.4,201,106.1,111,104.3,84,3.1,103,
2026,Furman,66.5,275,65.9,263,111.7,108,107.5,200,107.2,141,109.4,181,-1.9,146,15
2026,Gardner Webb,70.8,63,69.2,80,93.5,360,95.5,353,122.2,361,122,358,-26.5,268,
2026,George Mason,64.8,334,63.3,350,112.3,100,113.1,105,104.4,80,105.6,103,7.5,73,
2026,George Washington,70,95,69.1,83,115.9,52,117.6,59,106.3,116,108,143,9.6,64,
2026,Georgetown,67.1,243,66.2,245,108.5,172,114.6,87,107.7,153,103.7,73,10.9,58,
2026,Georgia,73.5,9,71.4,16,120.5,13,124.7,16,106.9,135,104.2,80,20.5,25,8
2026,Georgia Southern,71.1,49,70,42,111.3,115,110.2,150,111.9,269,116.2,310,-6,177,
2026,Georgia St.,68.8,160,67.8,148,99.4,334,99.3,335,109.3,203,112.3,244,-13,228,
2026,Georgia Tech,71.6,30,70.6,25,102.8,294,107.7,197,108,166,107.1,132,0.6,125,
2026,Gonzaga,70.4,79,68.6,111,120.5,12,122,29,93.6,1,93.9,9,28.1,7,3
2026,Grambling St.,69.3,126,67.6,168,99.7,331,96.9,345,102.7,56,108.6,160,-11.7,218,
2026,Grand Canyon,69,150,68,141,109.2,156,111,134,99.2,23,97.8,23,13.2,46,
2026,Green Bay,64.7,336,62.9,361,113.6,78,112.5,113,116.4,338,116,308,-3.5,154,
2026,Hampton,66,298,65.3,290,101.9,306,102.5,295,108.3,173,111.6,226,-9.1,196,
2026,Harvard,63.9,357,63,360,108,186,106.6,218,103.7,71,105.3,100,1.3,115,
2026,Hawaii,72.3,22,69.7,61,108.3,177,107.1,211,96.6,7,101.2,43,5.9,79,13
2026,High Point,70.9,56,69.9,49,121.2,10,117,66,100.3,31,108.6,161,8.4,64,12
2026,Hofstra,65.3,323,64.7,317,113.6,81,114.6,89,102.8,59,105.1,95,9.5,61,13
2026,Holy Cross,65.8,304,65.5,278,103.1,284,100.8,314,113.6,302,117.2,323,-16.4,230,
2026,Houston,64.9,332,63.3,352,118.5,31,124.9,14,96.5,6,91.4,5,33.5,2,2
2026,Houston Christian,64.4,345,64.4,325,102.7,296,102.9,288,112.3,274,114,274,-11.1,207,
2026,Howard,69.2,137,69,89,108.2,180,103.1,283,97.7,12,106.3,117,-3.2,145,16
2026,Idaho,69.2,130,67.7,156,110.4,130,108.8,176,106.8,132,107.3,136,1.5,106,15
2026,Idaho St.,67,244,65.5,281,109.3,151,109.5,163,115.6,331,116.6,314,-7.1,172,
2026,Illinois,66.2,285,65.5,277,125.5,1,131.2,2,103.7,72,99.1,28,32.1,3,3
